count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_4_or_more_rigid_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
28379,2018,6,London,145,Camden,A503,major,Parkway,"Camden High St",528950,183630,51.53685459,-0.14214659,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",1353,832,8076,220,1623,261,39,1,29,0,0,329,11080
28498,2018,6,London,145,Camden,A503,major,"Kentish Town Rd","Bayham St",528950,183920,51.53946072,-0.14204046,0.10,0.06,Estimated,"Estimated using previous year's AADF on this link",450,493,7483,488,2434,290,17,7,24,15,4,356,11254
28758,2018,6,London,145,Camden,A5200,major,"LA Boundary","Camden Rd",529850,184770,51.54689320,-0.12875728,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",652,481,6066,237,1209,226,51,0,25,0,11,312,8306
37100,2018,6,London,145,Camden,A400,major,"Delancey St","Hampstead Rd",529140,183500,51.53564293,-0.13945630,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",1460,1334,13690,1419,3773,629,66,9,130,15,3,851,21068
37101,2018,6,London,145,Camden,A400,major,A5204,A501,529430,182000,51.52209659,-0.13582817,0.70,0.43,Counted,"Manual count",2772,881,7236,914,2539,500,65,19,79,10,5,678,12248
37264,2018,6,London,145,Camden,A502,major,"Castlehaven Rd","LA boundary",527450,185000,51.54950680,-0.16326642,4.30,2.67,Estimated,"Estimated using previous year's AADF on this link",367,429,11676,499,1834,166,30,2,17,1,2,219,14657
37268,2018,6,London,145,Camden,A503,major,"Bayham St",A400,529000,183970,51.53989864,-0.14130160,0.20,0.12,Counted,"Manual count",1459,1494,15637,2060,4782,304,47,10,80,18,21,480,24453
37773,2018,6,London,145,Camden,A4200,major,A40,A40,530500,181600,51.51825598,-0.12056240,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",2235,1519,14241,2250,4094,475,41,30,70,8,11,636,22740
37824,2018,6,London,145,Camden,A5200,major,"A5200 Leighton Rd",A400,529500,185450,51.55308445,-0.13355184,1.00,0.62,Estimated,"Estimated using previous year's AADF on this link",706,611,10758,371,1832,214,12,2,5,0,0,234,13806
37825,2018,6,London,145,Camden,A5200,major,"Swinton St","Euston Rd",530470,182900,51.52994546,-0.12051354,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",867,1919,16023,716,3624,564,81,37,153,40,43,919,23201
37827,2018,6,London,145,Camden,A401,major,"Procter St","Gray's Inn Rd",530700,181850,51.52045642,-0.11758894,0.50,0.31,Counted,"Manual count",4418,1406,11991,1737,4325,167,44,8,68,3,0,291,19750
38368,2018,6,London,145,Camden,A4200,major,A400,"Hampstead Rd",529249,183314,51.53394649,-0.13795385,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",1399,664,4825,856,1531,203,38,6,8,3,0,258,8134
38555,2018,6,London,145,Camden,A4201,major,"Prince Albert Rd","Delancey St",528650,183580,51.53647364,-0.14648792,0.10,0.06,Counted,"Manual count",2352,1074,17048,436,3456,320,70,11,85,3,13,502,22516
38592,2018,6,London,145,Camden,A401,major,"Clerkenwell Rd","LA Boundary",531100,182130,51.52288004,-0.11172294,0.30,0.19,Counted,"Manual count",2806,595,5896,1466,1865,190,33,1,25,0,2,252,10075
38595,2018,6,London,145,Camden,A5204,major,"LA Boundary",A400,529496,181746,51.51979887,-0.13497067,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",1178,519,4158,8,1332,150,26,0,30,0,3,208,6226
47081,2018,6,London,145,Camden,A400,major,A503,A502,529060,184100,51.54105320,-0.14038931,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",1152,1032,11719,1500,2878,404,57,11,28,11,16,527,17656
47245,2018,6,London,145,Camden,A501,major,A4201,A400,529004,182226,51.52422496,-0.14188225,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",1603,3875,53887,1828,14525,954,195,97,285,83,65,1678,75793
47249,2018,6,London,145,Camden,A503,major,"St Pancras Way","Camden Park Rd",529500,184600,51.54544583,-0.13386445,0.80,0.50,Counted,"Manual count",1389,1532,18436,766,4769,436,77,37,113,35,15,713,26216
47269,2018,6,London,145,Camden,A5202,major,"Camden Rd","Royal College St",529390,184000,51.54007906,-0.13567025,0.90,0.56,Estimated,"Estimated using previous year's AADF on this link",602,327,3623,19,933,83,13,0,16,0,6,118,5021
47727,2018,6,London,145,Camden,A4201,major,"Delancey St",A400/A502/A503,528800,183800,51.53841654,-0.14424598,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",1047,694,10941,401,2328,367,16,9,39,0,0,431,14796
47784,2018,6,London,145,Camden,A5200,major,A503,"A5200 Camden Park Rd",530000,184700,51.54622964,-0.12662113,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",650,468,6320,205,1305,285,45,0,100,39,19,488,8786
47785,2018,6,London,145,Camden,A5200,major,A40,"Theobalds RD",531070,181800,51.51992144,-0.11227774,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",1525,785,8211,991,1598,221,52,1,23,0,0,297,11884
48159,2018,6,London,145,Camden,A400,major,A501,"New Oxford St",530000,181561,51.51802068,-0.12777887,1.20,0.75,Counted,"Manual count",2019,960,9375,1236,2355,186,30,9,36,5,0,266,14191
48352,2018,6,London,145,Camden,A400,major,A4200,A503,529350,183600,51.53649356,-0.13639354,0.90,0.56,Counted,"Automatic counter",1882,1279,9189,152,1944,527,56,0,37,8,26,654,13219
48537,2018,6,London,145,Camden,A41,major,"LA Boundary","Adelaide Road roundabout",526639,184005,51.54074733,-0.17531429,0.30,0.19,Counted,"Dependent on a neighbouring counted link",299,964,15838,1770,3511,391,79,64,29,55,39,657,22739
56124,2018,6,London,145,Camden,A5,major,A4003,"LA Boundary",525120,184020,51.54122058,-0.19720054,0.10,0.06,Estimated,"Estimated using previous year's AADF on this link",998,862,10311,1662,2689,623,73,22,33,31,32,814,16338
56751,2018,6,London,145,Camden,A400,major,"Harrington Sq","Camden High St",529160,183270,51.53357142,-0.13925240,0.30,0.19,Counted,"Manual count",695,639,7427,880,2241,159,66,6,69,7,4,312,11499
56815,2018,6,London,145,Camden,A501,major,A4200,A5202,530000,182765,51.52884057,-0.12733503,0.60,0.37,Counted,"Manual count",2167,2708,41186,2851,7981,1536,144,46,232,61,36,2055,56780
56990,2018,6,London,145,Camden,A4200,major,A501,A400,529470,183000,51.53107409,-0.13488475,0.80,0.50,Counted,"Manual count",932,615,7099,643,2222,158,41,2,38,2,5,247,10827
57080,2018,6,London,145,Camden,A400,major,A502,"Royal College St",528960,184400,51.54377204,-0.14172064,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",2484,1106,9608,1182,2392,362,120,3,19,4,14,522,14810
57538,2018,6,London,145,Camden,A40,major,"Shaftesbury Ave","Southampton Place",530289,181427,51.51674995,-0.12366557,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",2621,2873,8777,273,3085,223,85,9,13,4,1,335,15344
57690,2018,6,London,145,Camden,A401,major,A40/A4200,"Procter St",530500,181700,51.51915464,-0.12052540,0.10,0.06,Estimated,"Estimated using previous year's AADF on this link",5728,999,9362,2620,1410,237,42,3,34,2,21,341,14732
57828,2018,6,London,145,Camden,A401,major,A400,"High Holborn",530000,181140,51.51423731,-0.12793400,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",3307,1579,9204,893,2975,436,48,3,22,2,9,521,15172
58157,2018,6,London,145,Camden,A503,major,"Camden High St","Camden Rd",529040,183800,51.53836177,-0.14078742,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",1253,866,10199,1728,2003,430,27,0,31,7,6,501,15297
58196,2018,6,London,145,Camden,A5205,major,"LA Boundary",Parkway,528470,183640,51.53705379,-0.14905987,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",650,662,13715,154,3060,669,54,0,19,3,1,747,18337
58317,2018,6,London,145,Camden,A5200,major,"Camden Rd","LA Boundary",529630,185000,51.54901066,-0.13184354,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",522,406,8261,292,1555,245,37,0,19,2,11,314,10827
75095,2018,6,London,145,Camden,A401,major,"High Holborn","Bloomsbury Way",530110,181400,51.51654853,-0.12625380,0.20,0.12,Counted,"Manual count",830,522,3674,21,1012,75,18,2,13,2,0,110,5339
75096,2018,6,London,145,Camden,A401,major,"Shaftesbury Avenue","New Oxford St",530080,181400,51.51655543,-0.12668591,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",2000,619,5957,1159,1632,160,24,5,15,1,1,206,9573
75097,2018,6,London,145,Camden,A40,major,"Bloomsbury St","Shaftesbury Ave",530100,181450,51.51700016,-0.12637939,0.10,0.06,Estimated,"Estimated using previous year's AADF on this link",2532,963,7580,1462,2251,350,49,0,23,0,0,421,12677
75098,2018,6,London,145,Camden,A40,major,"High Holborn","Bloomsbury Way",530420,181550,51.51782510,-0.12173322,0.10,0.06,Estimated,"Estimated using previous year's AADF on this link",327,307,1701,10,444,79,9,1,0,0,0,89,2550
75099,2018,6,London,145,Camden,A40,major,"Southampton Place",Kingsway,530480,181520,51.51754166,-0.12088007,0.10,0.06,Estimated,"Estimated from nearby links",1131,894,12601,826,2989,370,55,15,90,22,31,583,17894
75100,2018,6,London,145,Camden,A40,major,"Southampton Place","Southampton Row",530420,181650,51.51872377,-0.12169624,0.10,0.06,Estimated,"Estimated from nearby links",962,761,10723,703,2544,315,47,13,76,19,26,497,15228
75101,2018,6,London,145,Camden,A40,major,"High Holborn","Theobalds Rd",530590,181600,51.51823520,-0.11926602,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",1607,1001,9220,923,2657,294,39,13,19,1,1,367,14169
75102,2018,6,London,145,Camden,A40,major,Kingsway,"Procter St",530550,181530,51.51761537,-0.11986810,0.10,0.06,Estimated,"Estimated from nearby links",933,738,10402,682,2467,306,45,13,74,18,26,482,14772
75103,2018,6,London,145,Camden,A5202,major,"St Pancras Way","Kentish Town Rd",529000,184500,51.54466157,-0.14110752,0.10,0.06,Estimated,"Estimated from nearby links",796,629,8868,582,2104,260,39,11,63,16,22,411,12593
75136,2018,6,London,145,Camden,A5,major,"LA Boundary","B414 Kilburn Park Road",525610,183400,51.53553996,-0.19035970,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",998,862,10311,1662,2689,623,73,22,33,31,32,814,16338
76054,2018,6,London,145,Camden,A501,major,"Tottenham Court Road","Gower Street",529360,182384,51.52556350,-0.13669569,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",1676,2881,40898,1264,9068,793,131,46,149,66,51,1236,55348
80722,2018,6,London,145,Camden,A5202,major,A501,"Royal College St",530150,183130,51.53208616,-0.12503914,1.40,0.87,Estimated,"Estimated using previous year's AADF on this link",494,128,17037,338,580,126,0,0,5,0,0,132,18215
90041,2018,6,London,145,Camden,A40,major,"Charing Cross Road","Shaftesbury Ave",529950,181322,51.51588300,-0.12858719,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",441,1472,4851,57,1856,171,32,4,18,4,4,232,8469
90042,2018,6,London,145,Camden,A40,major,"Charing Cross Road","Earnshaw St",529871,181388,51.51649400,-0.12970077,0.10,0.06,Estimated,"Estimated from nearby links",0,2208,7277,86,2784,257,47,5,27,6,6,349,12703
90043,2018,6,London,145,Camden,A40,major,,,530010,181424,51.51678600,-0.12768540,0.10,0.06,Estimated,"Estimated using previous year's AADF on this link",4354,285,1739,2049,461,106,11,2,16,2,1,139,4674
90230,2018,6,London,145,Camden,A4200,major,A40,A501,529970,182300,51.52466869,-0.12793867,1.70,1.06,Estimated,"Estimated using previous year's AADF on this link",2098,1149,8638,1522,2212,623,123,0,157,11,8,922,14442
942304,2018,6,London,145,Camden,B510,minor,,,525323,185330,51.55294845,-0.19380874,,,Counted,"Manual count",190,258,6629,305,1673,135,21,11,14,3,4,187,9052
942305,2018,6,London,145,Camden,B521,minor,,,531314,181941,51.52113192,-0.10871053,,,Counted,"Manual count",1090,310,1254,1,670,59,6,0,0,0,0,65,2300
942307,2018,6,London,145,Camden,B502,minor,,,530149,182117,51.52298296,-0.12542749,,,Estimated,"Estimated using previous year's AADF on this link",977,190,1126,8,479,61,6,2,1,1,0,72,1874
942310,2018,6,London,145,Camden,U,minor,,,529076,184496,51.54460827,-0.14001362,,,Counted,"Manual count",15,15,43,0,28,0,0,0,0,0,0,0,86
951701,2018,6,London,145,Camden,B519,minor,,,526422,186757,51.56552769,-0.17745338,,,Counted,"Manual count",450,448,13792,219,2830,173,23,4,16,2,0,218,17506
951703,2018,6,London,145,Camden,U,minor,,,525830,185148,51.55120010,-0.18656505,,,Counted,"Manual count",6,9,681,3,142,4,1,0,0,0,0,5,839
951704,2018,6,London,145,Camden,U,minor,,,528657,186240,51.56037660,-0.14541520,,,Counted,"Manual count",247,21,993,3,105,4,2,0,1,0,0,6,1127
6425,2017,6,London,145,Camden,A40,major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",3688,1259,11815,1279,1982,518,56,2,85,1,2,664,17000
7043,2017,6,London,145,Camden,A400,major,A502,"Delancey St",528950,183780,51.53820259,-0.14209170,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",986,822,8357,1206,2102,382,72,0,23,0,4,481,12968
7044,2017,6,London,145,Camden,A400,major,A501,"Harrington Sq",529200,183000,51.53113588,-0.13877500,0.90,0.56,Estimated,"Estimated using previous year's AADF on this link",2309,1734,23051,1924,4173,876,69,0,141,14,49,1150,32031
7214,2017,6,London,145,Camden,A503,major,A400,A5202,529150,184100,51.54103264,-0.13909228,0.20,0.12,Counted,"Manual count",2060,1879,26214,1416,6306,518,84,14,217,17,14,866,36680
7237,2017,6,London,145,Camden,A5202,major,B512,A503,529300,184000,51.54009966,-0.13696726,0.80,0.50,Estimated,"Estimated using previous year's AADF on this link",1177,413,7952,156,2061,235,32,4,33,3,6,312,10894
7671,2017,6,London,145,Camden,A4200,major,A40,A501,529970,182300,51.52466869,-0.12793867,1.30,0.81,Estimated,"Estimated using previous year's AADF on this link",2124,1140,8645,1582,2167,620,124,0,194,11,8,958,14493
7717,2017,6,London,145,Camden,A5201,major,"Gray's Inn Rd","LA Boundary",531300,182040,51.52202484,-0.10887534,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",6167,2104,9697,814,2915,365,25,4,19,1,3,417,15947
8381,2017,6,London,145,Camden,A5200,major,"Acton St","Swinton St",530560,182730,51.52839696,-0.11927979,0.10,0.06,Counted,"Dependent on a neighbouring counted link",1620,677,8884,625,2178,245,34,7,28,4,4,322,12686
8438,2017,6,London,145,Camden,A201,major,"Gray's Inn Rd","King's Cross Road",530620,182725,51.52833817,-0.11841721,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",656,746,6238,670,1082,285,39,9,76,32,22,463,9198
8469,2017,6,London,145,Camden,A400,major,A40,A5204,529700,181590,51.51835019,-0.13208946,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",2320,1395,8569,1051,2364,403,85,15,62,0,0,564,13943
16401,2017,6,London,145,Camden,A40,major,A400,"Bloomsbury St",530000,181430,51.51684343,-0.12782715,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",4457,292,1748,2158,440,105,11,2,15,2,1,136,4774
16434,2017,6,London,145,Camden,A41,major,"Adelaide Road roundabout",A598,526150,185000,51.54979866,-0.18200525,2.50,1.55,Counted,"Manual count",418,1270,36313,1782,8504,662,134,57,197,74,67,1191,49061
17007,2017,6,London,145,Camden,A400,major,"Royal College St","LA Boundary",529000,185000,51.54915490,-0.14092437,1.40,0.87,Estimated,"Estimated using previous year's AADF on this link",2123,952,9165,1132,2308,439,32,10,49,7,16,553,14110
17008,2017,6,London,145,Camden,A400,major,"Hampstead Rd",A4200,529200,183160,51.53257375,-0.13871635,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",1185,1156,10379,1105,2469,347,58,21,33,14,11,484,15594
17169,2017,6,London,145,Camden,A501,major,A400,A4200,529600,182500,51.52655097,-0.13319548,0.40,0.25,Counted,"Manual count",1664,3221,46801,2298,9481,959,124,54,206,79,51,1473,63274
17170,2017,6,London,145,Camden,A502,major,A400/A503,"Castlehaven Road",528830,184000,51.54020703,-0.14374053,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",500,372,5202,719,1615,237,32,3,12,12,1,297,8206
17196,2017,6,London,145,Camden,A5202,major,"Royal College St","Camden Rd",529120,184380,51.54355576,-0.13942199,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",1434,312,5572,215,667,222,17,0,5,0,3,246,7011
17637,2017,6,London,145,Camden,A4200,major,"LA Boundary",A40,530600,181300,51.51553691,-0.11923304,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",3175,2089,17723,3768,5441,596,63,3,68,2,0,733,29753
17688,2017,6,London,145,Camden,A5200,major,"Clerkenwell Rd","Acton St",530720,182400,51.52539441,-0.11709697,0.80,0.50,Counted,"Automatic counter",1620,677,8884,625,2178,245,34,7,28,4,4,322,12686
18077,2017,6,London,145,Camden,A501,major,A5202,"Gray's Inn Rd",530276,182939,51.53034069,-0.12329425,0.10,0.06,Counted,"Dependent on a neighbouring counted link",2311,3043,42023,2829,7489,1328,174,23,326,80,61,1991,57374
18170,2017,6,London,145,Camden,A40,major,"Charing Cross Road","Shaftesbury Ave",529917,181308,51.51576614,-0.12906759,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",447,1461,4855,60,1819,171,32,4,22,4,4,237,8431
18611,2017,6,London,145,Camden,A503,major,"Camden Park Rd",A5200,529780,184952,51.54854485,-0.12969914,0.10,0.06,Counted,"Manual count",1566,1672,18692,916,4202,380,65,31,185,25,33,721,26203
27075,2017,6,London,145,Camden,A400,major,A502/A503,A502,528930,184000,51.54018422,-0.14229941,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",577,465,4935,646,740,211,27,0,20,0,9,267,7053
27241,2017,6,London,145,Camden,A503,major,A5202,"St Pancras Way",529230,184250,51.54236234,-0.13788433,0.10,0.06,Estimated,"Estimated using previous year's AADF on this link",2897,2236,20436,1066,5493,742,64,3,98,8,16,930,30161
27264,2017,6,London,145,Camden,A5202,major,A503,"St Pancras Way",529110,184330,51.54310871,-0.13958444,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",488,232,3812,277,1073,122,33,0,26,1,0,182,5575
27733,2017,6,London,145,Camden,A4201,major,A501,"Prince Albert Road",528760,183000,51.53123630,-0.14511470,1.50,0.93,Estimated,"Estimated using previous year's AADF on this link",640,542,7589,364,2296,303,42,2,34,10,5,396,11187
27785,2017,6,London,145,Camden,A40,major,"Shaftesbury Ave","Southampton Place",530300,181560,51.51794264,-0.12345801,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",2563,956,7587,1519,2206,348,49,0,28,0,0,426,12694
28216,2017,6,London,145,Camden,A502,major,"Chalk Farm Road",A400,528800,184300,51.54290988,-0.14406319,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",579,446,7780,634,1934,248,48,4,27,2,2,332,11125
28313,2017,6,London,145,Camden,A201,major,"Gray's Inn Rd","King's Cross Rd",530680,182810,51.52908815,-0.11752126,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",68,814,7911,125,2357,252,38,17,48,28,13,396,11603
28379,2017,6,London,145,Camden,A503,major,Parkway,"Camden High St",528950,183630,51.53685459,-0.14214659,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",1370,825,8083,229,1590,260,39,1,36,0,0,336,11063
28498,2017,6,London,145,Camden,A503,major,"Kentish Town Rd","Bayham St",528950,183920,51.53946072,-0.14204046,0.10,0.06,Estimated,"Estimated using previous year's AADF on this link",455,489,7489,507,2385,289,17,7,29,15,4,362,11232
28758,2017,6,London,145,Camden,A5200,major,"LA Boundary","Camden Rd",529850,184770,51.54689320,-0.12875728,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",660,477,6072,247,1185,225,51,0,31,0,11,319,8299
37100,2017,6,London,145,Camden,A400,major,"Delancey St","Hampstead Rd",529140,183500,51.53564293,-0.13945630,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",1478,1324,13702,1475,3698,626,66,9,161,16,3,881,21079
37101,2017,6,London,145,Camden,A400,major,A5204,A501,529430,182000,51.52209659,-0.13582817,0.60,0.37,Estimated,"Estimated using previous year's AADF on this link",4940,1403,15169,1054,3037,620,85,4,164,10,8,891,21553
37264,2017,6,London,145,Camden,A502,major,"Castlehaven Rd","LA boundary",527450,185000,51.54950680,-0.16326642,4.30,2.67,Counted,"Manual count",372,426,11686,518,1797,165,30,2,21,1,2,222,14651
37268,2017,6,London,145,Camden,A503,major,"Bayham St",A400,529000,183970,51.53989864,-0.14130160,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",2844,2217,14717,2499,3599,538,68,0,65,0,23,694,23726
37773,2017,6,London,145,Camden,A4200,major,A40,A40,530500,181600,51.51825598,-0.12056240,0.20,0.12,Counted,"Manual count",2263,1508,14254,2338,4012,473,41,30,87,9,12,652,22764
